Date,EWU
2004-09-7,1015.907
2004-09-8,1020.807
2004-09-9,1016.073
2004-09-10,1027.524
2004-09-13,1028.006
2004-09-14,1027.429
2004-09-15,1015.159
2004-09-16,1024.236
2004-09-17,1032.300
2004-09-20,1025.971
2004-09-21,1037.517
2004-09-22,1033.835
2004-09-23,1031.460
2004-09-24,1036.057
2004-09-27,1030.616
2004-09-28,1038.564
2004-09-29,1036.394
2004-09-30,1038.041
2004-10-1,1049.978
2004-10-4,1048.173
2004-10-5,1052.574
2004-10-6,1050.364
2004-10-7,1050.070
2004-10-8,1057.192
2004-10-11,1055.044
2004-10-12,1042.053
2004-10-13,1039.889
2004-10-14,1042.311
2004-10-15,1046.736
2004-10-18,1044.323
2004-10-19,1053.333
2004-10-20,1049.671
2004-10-21,1057.455
2004-10-22,1057.187
2004-10-25,1052.511
2004-10-26,1055.662
2004-10-27,1066.099
2004-10-28,1065.713
2004-10-29,1062.546
2004-11-1,1074.362
2004-11-2,1081.780
2004-11-3,1093.928
2004-11-4,1093.095
2004-11-5,1099.430
2004-11-8,1099.648
2004-11-9,1098.792
2004-11-10,1096.031
2004-11-11,1103.376
2004-11-12,1112.502
2004-11-15,1114.111
2004-11-16,1109.305
2004-11-17,1116.002
2004-11-18,1114.878
2004-11-19,1109.188
2004-11-22,1102.307
2004-11-23,1112.555
2004-11-24,1113.245
2004-11-25,1125.487
2004-11-26,1125.471
2004-11-29,1127.087
2004-11-30,1126.972
2004-12-1,1144.242
2004-12-2,1145.958
2004-12-3,1153.830
2004-12-6,1149.667
2004-12-7,1152.220
2004-12-8,1137.972
2004-12-9,1127.736
2004-12-10,1127.814
2004-12-13,1142.691
2004-12-14,1140.802
2004-12-15,1154.392
2004-12-16,1150.629
2004-12-17,1142.705
2004-12-20,1158.736
2004-12-21,1145.878
2004-12-22,1148.535
2004-12-23,1154.935
2004-12-24,1161.417
2004-12-27,1165.939
2004-12-28,1163.075
2004-12-29,1160.634
2004-12-30,1164.359
2004-12-31,1162.443
2005-01-3,1152.302
2005-01-4,1148.165
2005-01-5,1141.165
2005-01-6,1137.678
2005-01-7,1140.341
2005-01-10,1142.035
2005-01-11,1138.342
2005-01-12,1140.476
2005-01-13,1137.338
2005-01-14,1134.933
2005-01-17,1135.069
2005-01-18,1134.183
2005-01-19,1139.284
2005-01-20,1132.019
2005-01-21,1131.704
2005-01-24,1137.757
2005-01-25,1138.033
2005-01-26,1149.542
2005-01-27,1153.918
2005-01-28,1147.006
2005-01-31,1153.553
2005-02-1,1162.648
2005-02-2,1168.482
2005-02-3,1163.656
2005-02-4,1174.933
2005-02-7,1170.887
2005-02-8,1168.337
2005-02-9,1168.031
2005-02-10,1178.574
2005-02-11,1184.903
2005-02-14,1197.719
2005-02-15,1201.590
2005-02-16,1194.395
2005-02-17,1202.581
2005-02-18,1204.535
2005-02-21,1206.371
2005-02-22,1205.626
2005-02-23,1195.660
2005-02-24,1193.396
2005-02-25,1206.809
2005-02-28,1204.630
2005-03-1,1208.665
2005-03-2,1200.595
2005-03-3,1204.896
