Date,EEM
2002-02-20,327.175
2002-02-21,327.044
2002-02-22,326.823
2002-02-25,327.577
2002-02-26,329.117
2002-02-27,335.038
2002-02-28,332.765
2002-03-01,336.704
2002-03-04,344.460
2002-03-05,346.274
2002-03-06,347.840
2002-03-07,346.858
2002-03-08,346.705
2002-03-11,348.523
2002-03-12,348.653
2002-03-13,347.585
2002-03-14,347.603
2002-03-15,346.701
2002-03-18,348.655
2002-03-19,349.968
2002-03-20,350.547
2002-03-21,350.010
2002-03-22,351.306
2002-03-25,348.121
2002-03-26,348.715
2002-03-27,350.749
2002-03-28,351.461
2002-03-29,351.427
2002-04-01,350.273
2002-04-02,353.631
2002-04-03,353.282
2002-04-04,352.540
2002-04-05,354.581
2002-04-08,351.756
2002-04-09,350.518
2002-04-10,350.397
2002-04-11,350.849
2002-04-12,352.306
2002-04-15,354.546
2002-04-16,357.174
2002-04-17,363.983
2002-04-18,364.077
2002-04-19,363.424
2002-04-22,363.582
2002-04-23,363.830
2002-04-24,363.579
2002-04-25,358.320
2002-04-26,358.172
2002-04-29,353.165
2002-04-30,352.838
2002-05-01,352.755
2002-05-02,352.962
2002-05-03,354.061
2002-05-06,349.226
2002-05-07,349.533
2002-05-08,354.139
2002-05-09,351.955
2002-05-10,349.252
2002-05-13,349.250
2002-05-14,352.470
2002-05-15,356.510
2002-05-16,357.137
2002-05-17,360.733
2002-05-20,357.991
2002-05-21,353.247
2002-05-22,355.827
2002-05-23,353.145
2002-05-24,356.517
2002-05-27,356.165
2002-05-28,355.143
2002-05-29,353.158
2002-05-30,351.027
2002-05-31,346.280
2002-06-03,348.063
2002-06-04,348.174
2002-06-05,346.494
2002-06-06,345.057
2002-06-07,340.307
2002-06-10,342.932
2002-06-11,341.489
2002-06-12,339.517
2002-06-13,339.677
2002-06-14,336.236
2002-06-17,335.140
2002-06-18,336.077
2002-06-19,328.733
2002-06-20,326.269
2002-06-21,324.113
2002-06-24,321.539
2002-06-25,320.681
2002-06-26,309.442
2002-06-27,313.650
2002-06-28,319.752
2002-07-01,318.637
2002-07-02,316.870
2002-07-03,316.561
2002-07-04,321.049
2002-07-05,326.206
2002-07-08,328.118
2002-07-09,331.223
2002-07-10,327.677
2002-07-11,321.349
2002-07-12,328.119
2002-07-15,326.021
2002-07-16,323.519
2002-07-17,324.736
2002-07-18,326.078
2002-07-19,321.250
2002-07-22,310.717
2002-07-23,310.283
2002-07-24,302.076
2002-07-25,302.157
2002-07-26,292.319
2002-07-29,293.444
2002-07-30,298.179
2002-07-31,294.623
2002-08-01,293.465
2002-08-02,293.249
2002-08-05,282.569
2002-08-06,280.980
2002-08-07,287.549
2002-08-08,291.464
2002-08-09,292.806
2002-08-12,292.031
2002-08-13,292.194
2002-08-14,294.775
2002-08-15,296.459
2002-08-16,298.195
2002-08-19,298.589
2002-08-20,300.664
2002-08-21,302.340
2002-08-22,303.033
2002-08-23,301.536
2002-08-26,300.976
2002-08-27,301.276
2002-08-28,297.980
2002-08-29,296.452
2002-08-30,298.886
2002-09-02,298.571
2002-09-03,293.718
2002-09-04,291.335
2002-09-05,289.557
2002-09-06,289.100
2002-09-09,290.367
2002-09-10,295.222
2002-09-11,297.637
2002-09-12,297.700
2002-09-13,292.517
2002-09-16,286.953
2002-09-17,291.523
2002-09-18,284.609
2002-09-19,282.225
2002-09-20,281.265
2002-09-23,274.734
2002-09-24,272.254
2002-09-25,269.672
2002-09-26,272.243
2002-09-27,270.700
2002-09-30,266.106
2002-10-01,269.004
2002-10-02,269.590
2002-10-03,268.709
2002-10-04,269.624
2002-10-07,262.677
2002-10-08,263.042
2002-10-09,259.361
2002-10-10,254.793
2002-10-11,255.981
2002-10-14,258.397
2002-10-15,265.253
2002-10-16,267.570
2002-10-17,271.949
2002-10-18,276.852
2002-10-21,276.102
2002-10-22,274.085
2002-10-23,280.033
2002-10-24,279.912
2002-10-25,279.990
2002-10-28,283.570
2002-10-29,280.267
2002-10-30,279.371
2002-10-31,283.161
2002-11-01,282.091
2002-11-04,287.652
2002-11-05,286.530
2002-11-06,290.023
2002-11-07,292.229
2002-11-08,292.750
2002-11-11,288.798
2002-11-12,287.151
2002-11-13,286.432
2002-11-14,287.241
2002-11-15,292.441
2002-11-18,293.634
2002-11-19,291.477
2002-11-20,291.417
2002-11-21,295.520
2002-11-22,297.334
2002-11-25,299.417
2002-11-26,297.277
2002-11-27,298.341
2002-11-28,299.995
2002-11-29,302.358
2002-12-02,304.420
2002-12-03,304.858
2002-12-04,300.277
2002-12-05,300.195
2002-12-06,299.281
2002-12-09,299.925
2002-12-10,297.605
2002-12-11,297.040
2002-12-12,298.991
2002-12-13,298.578
2002-12-16,297.386
2002-12-17,299.801
2002-12-18,299.441
2002-12-19,300.034
2002-12-20,301.892
2002-12-23,299.242
2002-12-24,297.132
2002-12-25,296.795
2002-12-26,297.394
2002-12-27,295.985
2002-12-30,291.951
2002-12-31,292.090
2003-01-01,292.200
2003-01-02,294.085
2003-01-03,299.981
2003-01-06,303.363
2003-01-07,301.382
2003-01-08,302.092
2003-01-09,301.397
2003-01-10,302.857
2003-01-13,307.107
2003-01-14,307.620
2003-01-15,308.006
2003-01-16,305.990
2003-01-17,301.958
2003-01-20,300.883
2003-01-21,298.358
2003-01-22,296.079
2003-01-23,297.756
2003-01-24,293.897
2003-01-27,288.792
2003-01-28,290.179
2003-01-29,289.055
2003-01-30,289.848
2003-01-31,290.438
2003-02-03,291.885
2003-02-04,291.572
2003-02-05,291.477
2003-02-06,287.806
2003-02-07,284.593
2003-02-10,282.158
2003-02-11,282.632
2003-02-12,283.765
2003-02-13,279.386
2003-02-14,279.254
2003-02-17,286.238
2003-02-18,286.815
2003-02-19,285.384
2003-02-20,285.973
2003-02-21,286.748
2003-02-24,287.919
2003-02-25,282.383
2003-02-26,281.673
2003-02-27,281.610
2003-02-28,281.288
2003-03-03,284.657
2003-03-04,281.540
2003-03-05,278.235
2003-03-06,276.207
2003-03-07,274.432
2003-03-10,271.687
2003-03-11,269.705
2003-03-12,269.711
2003-03-13,272.291
2003-03-14,275.254
2003-03-17,269.877
2003-03-18,276.833
2003-03-19,276.807
2003-03-20,281.074
2003-03-21,282.186
2003-03-24,279.256
2003-03-25,277.982
2003-03-26,278.743
2003-03-27,277.431
2003-03-28,277.317
2003-03-31,272.267
